What is AWS Budgets and how does it work?,"Using AWS Budgets, you can set a budget that alerts you when you exceed (or are forecasted to exceed) your budgeted cost or usage amount. You can also set alerts based on your RI or Savings Plans Utilization and Coverage using AWS Budgets."
What kinds of dimensions can be used to create a budget?,"AWS Budgets gives you access to a number of filtering dimensions (i.e., AWS Service, Availability Zone, and Member Account), and allows you to create budgets that are tracked on a monthly, quarterly, or yearly cadence. Learn more about budgets dimensions and filters here."
How many budgets can I create?,"You can create up to 20,000 budgets. If you would like to increase your limit, please reach out to Customer Support. Learn more about AWS Budgets Limits and Restrictions."
How many alerts and subscribers can I add for each budget?,"For each budget, you are allowed to create up to five alerts. Each alert can be sent to 10 email subscribers and/or be published to an SNS topic."
Is there a cost associated with using AWS Budgets?,Budgets without actions are free. You can create 2 actions-enabled budgets for free. Any additional active budgets accrue a cost that can be reviewed here.
What is AWS Cost Anomaly Detection and how does it work?,Cost Anomaly Detection helps you detect and alert on any abnormal or sudden spend increases in your AWS account. This is possible by using machine learning to understand your spend patterns and trigger alert as they seem abnormal.
How can I customize monitors to evaluate for anomalies?,"Cost Anomaly Detection allows you to segment your spend by different dimensions (AWS Services, Linked Accounts, Cost Allocation Tags, and Cost Categories). This segmentation allows Anomaly Detection to detect more granular anomalies and customize alerting preferences."
How many monitors can I create?,"Cost Anomaly Detection allows you to create up to 101 monitors. There is a limit of 1 AWS Service monitor (which evaluates all of AWS Services separately) and up to 100 monitors for a combination of Linked Accounts, Cost Allocation Tags, and Cost Categories monitors."
How many subscribers can I add to each monitor?,"For each monitor, you can have up to 10 email recipients or 1 SNS topic."
Is there a cost associated with using AWS Cost Anomaly Detection?,"This service is provided free of charge. However, depending on your delivery settings, you may incur a charge, e.g. for SNS."
What is AWS Purchase Order Management and how does it work?,"AWS Purchase Order Management gives you the ability to define and manage your purchase orders (POs) for AWS services in a way that meets your unique business needs. You can configure multiple POs and define the rules of how they map to your invoices through PO line item configurations. You can define separate POs for different time periods, invoices, and AWS seller entities. You can also track the status as well as balance of your POs, and configure email contacts to receive PO balance tracking and expiration notifications. You have complete control to update your PO configuration at any time."
What are purchase order line items?,"Purchase order line items give you the flexibility to define various PO configurations according to your needs. By selecting different line item start and end periods, as well as line item types, you can define multiple configurations to match your POs to invoices, as well as track balances over different time periods and invoice types. To learn more, see Setting up purchase order configurations."
How does purchase order balance tracking work?,"Purchase order balance tracking is a feature that enables you to report and track the balance of your POs against your invoiced amounts. When adding/editing your PO details, you have the option to enable balance tracking and input amounts for your PO line items. Whenever an invoice is generated and matched with your PO, the balance of the corresponding line item as well as your PO will be reduced. If you have configured contacts on your PO, they will receive email notifications when the PO line item balance falls below a 75% threshold."
,"Your invoices are matched to your POs based on various criteria, such as effective and expiration periods, AWS seller entity (“Bill from”), line item type (e.g. AWS subscription, AWS Marketplace, AWS Monthly usage, or ALL), and line item start and end periods. PO balance is not an important criteria used for determining invoice association. When your PO runs out of balance, and in case you have not taken any action, such as updating the balance or adding a different PO, your PO will continue being associated with the same types of invoices as before."
What are purchase order notifications?,"You can configure contacts on your POs to receive email notifications for your POs running out of balance or nearing expiration. PO notifications enable you to proactively take actions to ensure the validity of your POs, and achieve on-time and accurate payments."
What is purchase order status management?,"You can easily track the status of your POs on the Purchase Orders dashboard. When adding/updating your PO, you can input its effective and expiration periods. Your PO is Active during this time period and is used for matching with invoices. Once your PO is past its expiration date, it’s status is automatically updated to Expired and it is no longer used for your invoices."
How many purchase orders can I add?,You can add up to 100 active purchase orders with up to 100 line items for each purchase order.
How many email contacts can I configure to receive PO alerts?,You can add up to 10 email contacts for each purchase order.
Is there a cost associated with using this feature?,"No, the feature is provided free of charge."
Can I update my invoicing and payment terms using this feature?,"AWS Purchase Order Management is provided by AWS for your convenience. Any use of AWS Purchase Order Management does not modify the agreement between you and AWS governing your access or use of AWS services. For any questions related to payment terms, please reach out to Customer Support."
Can I add purchase orders to my AWS Marketplace transactions?,"AWS Marketplace gives you the option to add purchase order numbers when subscribing to SaaS contracts. If you add a purchase order number that matches with one of the existing purchase order IDs in AWS Purchase Order Management console, then AWS will create a new line item type called “AWS Marketplace Transaction” under the same purchase order ID. A “purchase order number” in AWS Marketplace is synonymous with “purchase order ID”. For example, if you have an existing purchase order ID “1234” in AWS Purchase Order Management console and enter purchase order number “1234” in AWS Marketplace, a new line item type “AWS Marketplace Transaction” will be automatically created under “1234” in AWS Purchase Order Management console. However, if you are entering a new purchase order number is AWS Marketplace that does not match with a purchase order ID, AWS will create a new purchase order ID in the AWS Purchase Order Management Console. For example, if you enter “poc1” as the “purchase order number” in AWS marketplace and if it does not match with an existing purchase order ID, AWS will create a new purchase order ID “poc1”."
What is AWS Cost Categories and how does it work?,"Using AWS Cost Categories, you can group your cost and usage information into meaningful categories based on your business needs. You can create custom categories and map your cost and usage information into these categories based on the rules you define using various dimensions, such as, account, tag, service, charge type, and other cost categories. Once Cost Categories are set up, you can use them across various products in the AWS Billing and Cost Management console. This includes AWS Cost Explorer, AWS Budgets, AWS Cost and Usage Reports (AWS CUR), and AWS Cost Anomaly Detection. A Cost Category comprises the following components:"
When should I create a Cost Category vs a Cost Category value?,"Organizations have multiple perspectives on their business, such as projects, cost centers, applications, teams etc. A Cost Category is a unique perspective of your business that contains multiple groups of category values. For instance, if your business is organized by teams, you can create a cost category named Team. Then, you can map your costs to cost category values Team Alpha and Team Beta by selecting appropriate dimensions in the rule builder.
Cost Category values are mutually exclusive, but rules are not, so you can write multiple rules that map your costs to a particular Cost Categories value. For instance, one rule can map account ABC and account XYZ using Account dimension into Team Alpha, and another rule can use the Tag dimension to map tag key owner with tag value as Alpha-owners into Team Alpha. Both of these rules can be used to categorize your costs into Team Alpha."
How does Cost Categories work?,"Cost Categories uses a rule-based engine to categorize your cost and usage information. When your bill is computed (which happens multiple times every day), your costs are categorized to the values within each of your Cost Category based on the rules that you define. For example, consider you have three Cost Categories – Teams, Departments, and Cost Centers; your costs will be categorized based on your rules for each of your Cost Category into its values. Your Cost Category name will appear as a new column in your AWS Cost and Usage Report (CUR), and each row of your billing line item will be assigned the appropriate Cost Category value."
What is an Inherited Value rule?,"Inherited Value provides you the flexibility of defining a rule that dynamically inherits the Cost Category value from the dimension value defined. For example, if you want to dynamically group costs based on the value of a specific tag key, you can first choose the inherited value rule type, then choose the Tag dimension and specify the tag key to use. For instance, you can use a tag key, Teams, to tag your resources with values as alpha, beta, and gamma. Then, with an inherited value rule, you could select Tag as the dimension and specify teams as the tag key. This will dynamically generate alpha, beta, and gamma as Cost Category values."
What is a Default value?,"Any costs that are not captured in your Cost Category rules remain uncategorized. These costs show up on your AWS Cost and Usage Report with an empty value, and on your Cost Explorer with a “No Cost Category” label. You can use Default Value to assign a contextually meaningful name to uncategorized costs. For example, for your Cost Categories Teams you can define the default value as other teams and reference it on all Cost Management products."
What is the JSON Editor and why should I use it?,"You have two ways to define your Cost Categories in your AWS Billing and Cost Management Console – the GUI based Rule builder or the JSON editor. The Rule builder supports static GUI based components and contains only the AND logical operator to add dimensions to your rules. Using the JSON editor, you can write more complex rules with nested conditions, and use additional logical operators such as NOT and OR besides AND. Refer to API documentation for the JSON format to use with JSON editor"
How many Cost Categories can I create?,"You can create up to 50 Cost Categories. With the Rule builder, you can create up to 100 rules per Cost Category, and with the JSON editor, you can create up to 500 rules per Cost Category. For more details on service limits, refer to the user guide."
Can I create nested or hierarchical Cost Categories?,"Yes, you can create multilevel hierarchical relationships among your cost categories by using Cost Category as a dimension to select other categories when defining a Cost Category. For example, if your organization comprises multiple cost centers spanning across several departments, with each department itself containing multiple teams. You can easily set up Teams, Departments, and Cost Centers as hierarchical Cost Categories to track your cost and usage at every level."
What are Split Charge Rules?,"Every organization has a set of costs that are shared by multiple teams, business units, or financial owners, for instance, data transfer costs, enterprise support, or operational costs of a centralized infrastructure team. These costs are not directly attributable to a singular owner, and hence cannot be categorized into a singular cost category value. With Split Charge rules, you can equitably allocate these charges across your Cost Category values."
Will Split Charge Rules introduce new line items in my Cost and Usage Report (CUR)?,"Split charge rules as well as the resultant cost allocations are only presented within Cost Categories and are not surfaced in other Cost Management products such as AWS Cost Explorer, AWS Budgets, and AWS Cost Anomaly Detection. You can view your cost allocations before and after split charges are applied on the Cost Categories details page and download a CSV report of your cost allocations."
Is there a cost associated with using AWS Cost Categories?,This service is provided free of charge.
